CustomerID,freq,freq_3m,latetime,earlytime,monetary_total,monetary_avg_invoice,avg_qty_invoice,avg_price,unique_products,active_months,avg_days_between,target,cutoff_date
13085.0,6,0,122,181,2017.2,336.2,121.33333333333333,3.4040322580645164,33,2,11.6,0,2010-06-01
17006.0,1,1,87,87,179.75999999999996,179.75999999999996,84.0,2.867096774193549,30,1,180.0,0,2010-06-01
15630.0,1,1,87,87,295.05,295.05,187.0,2.25,20,1,180.0,0,2010-06-01
15978.0,1,1,87,87,599.12,599.12,365.0,2.8678125000000003,32,1,180.0,0,2010-06-01
14852.0,3,3,38,87,851.24,283.74666666666667,211.0,2.0803921568627453,42,2,24.0,6,2010-06-01
15929.0,1,1,87,87,594.0,594.0,120.0,4.95,1,1,180.0,0,2010-06-01
14233.0,2,2,33,87,1037.2,518.6,218.0,3.498,25,2,53.0,1,2010-06-01
13799.0,3,3,17,87,911.0699999999999,303.69,80.33333333333333,5.4381818181818184,8,3,34.5,3,2010-06-01
16331.0,2,2,75,85,1452.1,726.05,246.0,6.402631578947369,19,1,9.0,0,2010-06-01
14172.0,3,3,48,85,369.02,123.00666666666666,26.0,5.856590909090909,38,2,18.5,0,2010-06-01
13201.0,2,2,7,85,645.5300000000002,322.7650000000001,267.0,2.6203636363636353,50,2,78.0,2,2010-06-01
13508.0,1,1,85,85,176.07999999999998,176.07999999999998,156.0,2.82625,16,1,180.0,0,2010-06-01
16271.0,1,1,85,85,666.4399999999999,666.4399999999999,490.0,1.9566071428571428,51,1,180.0,3,2010-06-01
15443.0,5,5,1,85,1214.5500000000002,242.91000000000003,148.2,2.8597972972972974,138,3,20.5,2,2010-06-01
14205.0,2,2,26,85,564.1999999999999,282.09999999999997,203.0,3.145714285714285,28,2,59.0,2,2010-06-01
14877.0,1,1,85,85,206.7,206.7,97.0,2.70625,31,1,180.0,0,2010-06-01
18253.0,1,1,85,85,317.88,317.88,128.0,4.604285714285715,7,1,180.0,0,2010-06-01
13764.0,3,3,12,85,1400.1999999999998,466.7333333333333,386.0,2.352269938650307,141,2,36.5,0,2010-06-01
17190.0,1,1,87,87,405.41999999999996,405.41999999999996,1398.0,0.29,4,1,180.0,2,2010-06-01
17236.0,4,4,27,85,716.5299999999997,179.13249999999994,58.0,5.900769230769229,22,3,19.0,1,2010-06-01
15094.0,1,1,87,87,50.0,50.0,16.0,3.25,3,1,180.0,0,2010-06-01
13544.0,1,1,87,87,181.32,181.32,73.0,2.632264150943396,52,1,180.0,2,2010-06-01
14426.0,2,2,20,88,1478.7500000000002,739.3750000000001,437.0,3.776470588235294,80,2,67.0,3,2010-06-01
13881.0,7,7,5,88,9461.159999999996,1351.5942857142852,875.2857142857143,3.1407843137254896,68,3,13.5,3,2010-06-01
17159.0,1,1,88,88,261.29999999999995,261.29999999999995,78.0,5.013636363636365,11,1,180.0,1,2010-06-01
16096.0,2,2,31,88,883.4700000000001,441.73500000000007,225.5,4.756153846153846,39,2,56.0,0,2010-06-01
14748.0,2,2,60,88,727.12,363.56,396.0,1.9572727272727268,22,2,27.0,1,2010-06-01
15030.0,2,2,74,88,615.5999999999999,307.79999999999995,118.0,6.338181818181818,10,1,14.0,1,2010-06-01
17448.0,40,40,6,88,12354.05,308.85125,248.925,2.008357740585774,505,3,1.8717948717948718,6,2010-06-01
12371.0,2,2,88,88,607.6800000000001,303.84000000000003,126.0,5.318529411764707,32,1,0.0,0,2010-06-01
17718.0,1,1,87,87,299.83,299.83,191.0,2.6411764705882357,17,1,180.0,0,2010-06-01
12399.0,1,1,87,87,205.97999999999996,205.97999999999996,219.0,2.016,15,1,180.0,1,2010-06-01
13280.0,1,1,87,87,478.5,478.5,160.0,5.621999999999999,25,1,180.0,0,2010-06-01
12568.0,1,1,87,87,70.0,70.0,48.0,6.234,5,1,180.0,0,2010-06-01
13476.0,1,1,87,87,240.8,240.8,78.0,4.446428571428571,14,1,180.0,1,2010-06-01
12497.0,1,1,87,87,1211.76,1211.76,893.0,2.295882352941177,17,1,180.0,0,2010-06-01
18226.0,1,1,87,87,421.45,421.45,103.0,7.1456521739130405,23,1,180.0,8,2010-06-01
14957.0,1,1,87,87,203.2,203.2,63.0,2.95,15,1,180.0,0,2010-06-01
14186.0,3,3,5,87,984.0899999999999,328.03,304.6666666666667,1.6144615384615384,55,3,40.5,1,2010-06-01
13515.0,1,1,87,87,188.09999999999997,188.09999999999997,50.0,5.772857142857143,7,1,180.0,0,2010-06-01
14018.0,1,1,88,88,367.1500000000001,367.1500000000001,224.0,2.6284615384615386,13,1,180.0,0,2010-06-01
17589.0,4,4,13,85,2741.8199999999997,685.4549999999999,539.25,2.056777493606138,278,2,24.0,8,2010-06-01
13276.0,1,1,85,85,384.43,384.43,115.0,3.835270270270271,70,1,180.0,1,2010-06-01
12514.0,1,1,84,84,580.0799999999999,580.0799999999999,400.0,1.7969696969696969,33,1,180.0,0,2010-06-01
17960.0,1,1,84,84,10.9,10.9,2.0,5.45,2,1,180.0,1,2010-06-01
16628.0,1,1,84,84,78.0,78.0,40.0,1.95,4,1,180.0,0,2010-06-01
17289.0,3,3,52,84,508.3400000000001,169.4466666666667,89.0,2.7307936507936508,54,2,15.5,1,2010-06-01
17025.0,1,1,84,84,848.7,848.7,498.0,1.7463636363636368,22,1,180.0,0,2010-06-01
16537.0,1,1,84,84,23.35,23.35,59.0,0.5125000000000001,3,1,180.0,0,2010-06-01
17488.0,1,1,84,84,336.50000000000006,336.50000000000006,136.0,3.094444444444444,18,1,180.0,0,2010-06-01
16681.0,1,1,84,84,151.5,151.5,85.0,2.104,5,1,180.0,0,2010-06-01
13454.0,1,1,84,84,219.87000000000003,219.87000000000003,198.0,1.486521739130435,23,1,180.0,0,2010-06-01
16275.0,1,1,84,84,695.8400000000001,695.8400000000001,392.0,3.021212121212121,33,1,180.0,1,2010-06-01
16568.0,1,1,84,84,477.30000000000007,477.30000000000007,54.0,22.450000000000003,2,1,180.0,0,2010-06-01
18245.0,5,5,17,84,1693.91,338.78200000000004,294.2,2.0799264705882354,119,3,16.25,3,2010-06-01
